model,pruning_pct,is_star,task,"word_perplexity,none","byte_perplexity,none","bits_per_byte,none",accuracy,acc_norm,perplexity,word_perplexity,bits_per_byte,"exact_match,strict-match","exact_match_stderr,strict-match","exact_match,flexible-extract","exact_match_stderr,flexible-extract","prompt_level_strict_acc,none","prompt_level_strict_acc_stderr,none","inst_level_strict_acc,none","prompt_level_loose_acc,none","prompt_level_loose_acc_stderr,none","inst_level_loose_acc,none","acc_norm,none","acc_norm_stderr,none"
Llama-3.2-3B-pruned-40%,40,False,truthfulqa_mc1,,,,0.2448,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,truthfulqa_mc2,,,,0.4484,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,wikitext,42.1811,2.0133,1.0096,,,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-40%,40,False,winogrande,,,,0.5572,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,arc_challenge,,,,0.2278,0.2381,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,boolq,,,,0.5119,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,gsm8k,,,,,,,,,0.0068,0.0023,0.0136,0.0032,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,hellaswag,,,,0.3043,0.3399,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,ifeval,,,,,,,,,,,,,0.1627,0.0159,0.271,0.1664,0.016,0.2806,,
Llama-3.2-3B-pruned-50%,50,False,lambada_openai,,,,,,240.72,0.0,0.0,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3545,0.0169
Llama-3.2-3B-pruned-50%,50,False,mmlu,,,,0.2555,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,piqa,,,,0.6088,0.6045,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,truthfulqa_mc1,,,,0.2472,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,truthfulqa_mc2,,,,0.4391,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,wikitext,74.828,2.2411,1.1642,,,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-50%,50,False,winogrande,,,,0.4886,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,arc_challenge,,,,0.1971,0.215,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,boolq,,,,0.5034,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,gsm8k,,,,,,,,,0.0106,0.0028,0.0227,0.0041,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,hellaswag,,,,0.2781,0.2959,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,ifeval,,,,,,,,,,,,,0.1331,0.0146,0.2398,0.1386,0.0149,0.2458,,
Llama-3.2-3B-pruned-60%,60,False,lambada_openai,,,,,,5960.46,0.0,0.0,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3598,0.0172
Llama-3.2-3B-pruned-60%,60,False,mmlu,,,,0.2589,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,piqa,,,,0.5696,0.5539,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,truthfulqa_mc1,,,,0.2387,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,truthfulqa_mc2,,,,0.4574,N/A,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,wikitext,162.4732,2.5908,1.3734,,,,,,,,,,,,,,,,,
Llama-3.2-3B-pruned-60%,60,False,winogrande,,,,0.4815,N/A,,,,,,,,,,,,,,,
