model,pruning_pct,is_star,task,"word_perplexity,none","byte_perplexity,none","bits_per_byte,none",accuracy,acc_norm,perplexity,word_perplexity,bits_per_byte,"exact_match,strict-match","exact_match_stderr,strict-match","exact_match,flexible-extract","exact_match_stderr,flexible-extract","prompt_level_strict_acc,none","prompt_level_strict_acc_stderr,none","inst_level_strict_acc,none","prompt_level_loose_acc,none","prompt_level_loose_acc_stderr,none","inst_level_loose_acc,none","acc_norm,none","acc_norm_stderr,none"
Llama-3.2-1B-pruned-10%,10,False,truthfulqa_mc1,,,,0.246,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,truthfulqa_mc2,,,,0.4026,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,wikitext,17.5011,1.7079,0.7722,,,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-10%,10,False,winogrande,,,,0.6093,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,arc_challenge,,,,0.2773,0.308,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,boolq,,,,0.6232,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,gsm8k,,,,,,,,,0.0212,0.004,0.0227,0.0041,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,hellaswag,,,,0.3875,0.5076,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,ifeval,,,,,,,,,,,,,0.1275,0.0144,0.253,0.1386,0.0149,0.2662,,
Llama-3.2-1B-pruned-20%,20,False,lambada_openai,,,,,,33.07,0.0,0.0,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3638,0.0171
Llama-3.2-1B-pruned-20%,20,False,mmlu,,,,0.2661,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,piqa,,,,0.685,0.6757,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,truthfulqa_mc1,,,,0.2424,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,truthfulqa_mc2,,,,0.4153,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,wikitext,25.052,1.8264,0.869,,,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-20%,20,False,winogrande,,,,0.5935,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,arc_challenge,,,,0.2577,0.2637,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,boolq,,,,0.626,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,gsm8k,,,,,,,,,0.0129,0.0031,0.0159,0.0034,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,hellaswag,,,,0.3495,0.4382,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,ifeval,,,,,,,,,,,,,0.1811,0.0166,0.3034,0.1904,0.0169,0.3141,,
Llama-3.2-1B-pruned-30%,30,False,lambada_openai,,,,,,55.74,0.0,0.0,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3757,0.0172
Llama-3.2-1B-pruned-30%,30,False,mmlu,,,,0.261,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,piqa,,,,0.6643,0.6458,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,truthfulqa_mc1,,,,0.2448,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,truthfulqa_mc2,,,,0.4252,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,wikitext,38.5833,1.98,0.9855,,,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-30%,30,False,winogrande,,,,0.5722,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,arc_challenge,,,,0.2287,0.2509,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,boolq,,,,0.622,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,gsm8k,,,,,,,,,0.0091,0.0026,0.0205,0.0039,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,hellaswag,,,,0.3137,0.3737,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,ifeval,,,,,,,,,,,,,0.1516,0.0154,0.289,0.1608,0.0158,0.3046,,
Llama-3.2-1B-pruned-40%,40,True,lambada_openai,,,,,,90.38,0.0,0.0,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.4286,0.0174
Llama-3.2-1B-pruned-40%,40,True,mmlu,,,,0.2689,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,piqa,,,,0.6235,0.6115,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,truthfulqa_mc1,,,,0.2485,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,truthfulqa_mc2,,,,0.4298,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,wikitext,56.3332,2.1252,1.0876,,,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-40%,40,True,winogrande,,,,0.5706,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,arc_challenge,,,,0.2031,0.2474,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,boolq,,,,0.6141,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,gsm8k,,,,,,,,,0.0053,0.002,0.0167,0.0035,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,hellaswag,,,,0.2879,0.3251,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,ifeval,,,,,,,,,,,,,0.1534,0.0155,0.2818,0.1553,0.0156,0.2842,,
Llama-3.2-1B-pruned-50%,50,False,lambada_openai,,,,,,428.3,0.0,0.0,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.3743,0.0172
Llama-3.2-1B-pruned-50%,50,False,mmlu,,,,0.2606,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,piqa,,,,0.6088,0.5903,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,truthfulqa_mc1,,,,0.246,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,truthfulqa_mc2,,,,0.4314,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,wikitext,117.043,2.4366,1.2849,,,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-50%,50,False,winogrande,,,,0.5312,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,arc_challenge,,,,0.1869,0.2398,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,boolq,,,,0.5535,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,gsm8k,,,,,,,,,0.0068,0.0023,0.0205,0.0039,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,hellaswag,,,,0.2696,0.2909,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,ifeval,,,,,,,,,,,,,0.1368,0.0148,0.2446,0.1386,0.0149,0.2542,,
Llama-3.2-1B-pruned-60%,60,False,lambada_openai,,,,,,2941.08,0.0,0.0,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,leaderboard_musr,,,,,,,,,,,,,,,,,,,0.4087,0.0174
Llama-3.2-1B-pruned-60%,60,False,mmlu,,,,0.2554,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,piqa,,,,0.5756,0.5637,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,truthfulqa_mc1,,,,0.2375,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,truthfulqa_mc2,,,,0.4661,N/A,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,wikitext,322.9455,2.9459,1.5587,,,,,,,,,,,,,,,,,
Llama-3.2-1B-pruned-60%,60,False,winogrande,,,,0.487,N/A,,,,,,,,,,,,,,,
